Prolific_ID,ID,Condition,Joke,Critical,Meaning1,Meaning2,key_resp_sentence.rt,slider_relatedness_responseValue,slider_relatedness_responseTime,key_resp_IsItJoke.keys,key_resp_IsItJoke.rt,slider_IsItFunny_responseValue,slider_IsItFunny_responseTime,DistanceFromCenter,Correct
5bdcf08f05ed110001ab2bbf,11.0,Sense1,Cannibals don't eat rotten eggs because they taste funny,FUNNY,WEIRD,LAUGHTER,2.3048,4.0,4.1152,right,1.3729,1.0,1.6483,0.0,1
5bdcf08f05ed110001ab2bbf,17.0,Sense1,Sleepy people don't want to give up their bed covers,COVERS,DUVET,IDENTITY,3.868,2.0,2.7484,right,1.2582,1.0,1.5308,2.0,1
5bdcf08f05ed110001ab2bbf,29.0,Sense2,"I thought pressing the camera button was doing nothing, but then it clicked.",IT CLICKED,INSIGHT,SOUND,4.8827,3.0,2.732,left,2.4466,2.0,2.4348,1.0,0
5bdcf08f05ed110001ab2bbf,26.0,Sense2,I did not destroy the calendar. All I did was rip a day off.,DAY OFF,LEAVE,RIP,4.3396,1.0,5.1847,right,2.1503,1.0,1.5155,3.0,1
5bdcf08f05ed110001ab2bbf,18.0,Sense1,Why was the belt created? For holding up a pair of pants,HOLDING UP,FASTEN,ROB,5.3373,6.0,8.2858,left,11.0025,5.0,5.0831,2.0,0
5bdcf08f05ed110001ab2bbf,3.0,Joke,Two cellphones got married. The reception was fantastic,RECEPTION,SIGNAL,PARTY,4.5333,3.0,4.2626,left,1.5855,5.0,1.3681,1.0,1
5bdcf08f05ed110001ab2bbf,8.0,Joke,I told her I was going to make her mine. She has extracted two rubies so far,MINE,BELONG,QUARRY,3.8509,4.0,2.6155,left,1.6338,7.0,2.5329,0.0,1
5bdcf08f05ed110001ab2bbf,27.0,Sense2,I told her that she was drawing her eyebrows too high; she looked angry,LOOKED,APPEARED,EXPRESSION,3.6624,4.0,3.3024,left,1.3839,7.0,2.0143,0.0,0
5bdcf08f05ed110001ab2bbf,25.0,Sense2,She had a photographic negative but never developed it.,DEVELOPED,IMPROVE,FILM,3.3599,3.0,3.4653,right,1.009,1.0,2.3308,1.0,1
5bdcf08f05ed110001ab2bbf,19.0,Sense1,The toddler would only eat pasta: he was going through a stage,STAGE,THEATER,PHASE,2.6456,4.0,2.7157,right,0.6423,1.0,1.5812,0.0,1
5bdcf08f05ed110001ab2bbf,12.0,Sense1,"After seeing the salad dressing, the chef was satisfied",DRESSING,NAKED,CAESAR,4.7944,7.0,7.7159,right,1.5185,1.0,1.2841,3.0,1
5bdcf08f05ed110001ab2bbf,23.0,Sense2,Why did the painting cost extra? Because it was framed,FRAMED,TRAPPED,WOODEN,3.0428,6.0,7.3357,right,1.908,1.0,1.6974,2.0,1
5bdcf08f05ed110001ab2bbf,30.0,Sense2,"I saw the car didn't stop at the red light, and then it hit me.",IT HIT ME,REALISE,STRIKE,4.9779,4.0,4.5674,left,4.0437,4.0,2.2845,0.0,0
5bdcf08f05ed110001ab2bbf,14.0,Sense1,"I heard he was on a roll, turns out his last three books were bestsellers.",ROLL,BREAD,SUCCESS,4.2873,2.0,3.0367,right,1.9833,1.0,1.4477,2.0,1
5bdcf08f05ed110001ab2bbf,16.0,Sense1,"The restaurant at the resort had great food, but no atmosphere",ATMOSPHERE,LIVELY,OXYGEN,3.4903,3.0,3.2995,right,1.5615,1.0,1.7978,1.0,1
5bdcf08f05ed110001ab2bbf,9.0,Joke,"I don't like people who take drugs, for example: airport security.",TAKE,SNATCH,USE,4.0667,4.0,1.9992,left,0.5833,6.0,2.3785,0.0,1
5bdcf08f05ed110001ab2bbf,26.0,Sense1,I got fired from the chocolate factory. All I did was take a day off.,DAY OFF,LEAVE,RIP,2.9718,1.0,4.9984,right,1.4187,1.0,1.2175,3.0,1
5bdcf08f05ed110001ab2bbf,19.0,Joke,The actor fell through the floorboards: he was going through a stage,STAGE,THEATER,PHASE,3.4835,4.0,1.8531,left,0.7396,5.0,3.0643,0.0,1
5bdcf08f05ed110001ab2bbf,17.0,Joke,Secret agents don't sleep because they don't want to give away their covers,COVERS,DUVET,IDENTITY,11.6936,3.0,6.8822,right,1.3427,1.0,1.1812,1.0,0
5bdcf08f05ed110001ab2bbf,37.0,Sense2,It's hard for leopards to have plain fur as they're always spotted.,SPOTTED,SEEN,PATTERNED,5.788,4.0,4.0988,right,0.8572,1.0,1.2811,0.0,1
5bdcf08f05ed110001ab2bbf,14.0,Joke,"I heard he was on a roll, turns out he fell asleep at the bakery.",ROLL,BREAD,SUCCESS,8.3131,4.0,1.9016,left,1.7664,3.0,5.282,0.0,1
5bdcf08f05ed110001ab2bbf,22.0,Sense1,The man didn't ask her out. He didn't have the guts,GUTS,COURAGE,ORGANS,2.4359,4.0,5.0156,right,1.4952,1.0,1.9355,0.0,1
5bdcf08f05ed110001ab2bbf,25.0,Sense1,She had a bright mind but never developed it.,DEVELOPED,IMPROVE,FILM,1.9328,3.0,6.3199,right,2.2995,1.0,1.412,1.0,1
5bdcf08f05ed110001ab2bbf,32.0,Sense2,"Some people believe the earth is flat, but that's just nuts!",NUTS!,SQUIRREL,CRAZY,2.5978,5.0,2.4322,right,1.9852,1.0,1.1643,1.0,1
5bdcf08f05ed110001ab2bbf,20.0,Joke,Mac users don't get enough sunlight because they don't have Windows,WINDOWS,COMPUTER,GLASS,4.1343,4.0,1.6153,left,1.2329,4.0,2.715,0.0,1
5bdcf08f05ed110001ab2bbf,16.0,Joke,"The restaurant on the moon had great food, but no atmosphere",ATMOSPHERE,LIVELY,OXYGEN,3.0282,4.0,1.6654,left,1.601,5.0,4.1311,0.0,1
5bdcf08f05ed110001ab2bbf,21.0,Sense1,The man on death row was worried. His days were numbered.,NUMBERED,LIMITED,SEQUENCE,4.1467,4.0,2.2488,right,0.5442,1.0,1.098,0.0,1
5bdcf08f05ed110001ab2bbf,33.0,Sense2,"I tried a bigger hammer to fix the painting to the wall, but I couldn't nail it.",NAIL IT,SUCCEED,RUST,5.3429,1.0,5.4155,left,1.649,3.0,1.0159,3.0,0
5bdcf08f05ed110001ab2bbf,13.0,Joke,The bank couldn't keep any secrets because it had too many tellers,TELLERS,GOSSIP,CASHIER,3.5818,5.0,1.5989,left,0.7473,3.0,2.3482,1.0,1
5bdcf08f05ed110001ab2bbf,15.0,Joke,"I asked the librarian for books about paranoia. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,4.9259,3.0,2.6658,left,1.0516,6.0,1.2845,1.0,1
5bdcf08f05ed110001ab2bbf,31.0,Sense2,"I wanted to buy a car with a gear stick, but I couldn't find a manual",MANUAL,HANDBOOK,TRANSMISSION,6.4879,3.0,3.1518,right,3.9728,1.0,1.6143,1.0,1
5bdcf08f05ed110001ab2bbf,40.0,Sense2,No need to plug in the toy: its battery is charged,BATTERY,ASSAULT,POWERED,3.0683,5.0,3.8656,right,0.9902,1.0,1.2152,1.0,1
5bdcf08f05ed110001ab2bbf,30.0,Sense1,"I had no idea who could have done this, and then it hit me.",IT HIT ME,REALISE,STRIKE,2.96,3.0,1.6153,right,1.8751,1.0,1.1011,1.0,1
5bdcf08f05ed110001ab2bbf,11.0,Joke,Cannibals don't eat clowns because they taste funny,FUNNY,WEIRD,LAUGHTER,1.8679,4.0,1.9857,left,1.0506,5.0,1.6156,0.0,1
5bdcf08f05ed110001ab2bbf,39.0,Sense2,The man had broken his hip in the winter. He had a great fall.,FALL,AUTUMN,SLIP,4.8522,4.0,2.7127,left,1.0494,5.0,1.5138,0.0,0
5bdcf08f05ed110001ab2bbf,35.0,Sense2,Communists love economic equality because there are no classes,CLASSES,SCHOOL,STATUS,3.2949,3.0,1.6322,right,1.1482,1.0,1.1157,1.0,1
5bdcf08f05ed110001ab2bbf,29.0,Sense1,"I couldn't figure out how to solve the math problem, but then it clicked.",IT CLICKED,INSIGHT,SOUND,2.5545,3.0,1.4516,right,1.2005,1.0,1.1323,1.0,1
5bdcf08f05ed110001ab2bbf,18.0,Joke,Why was the belt arrested? For holding up a pair of pants,HOLDING UP,FASTEN,ROB,6.8592,5.0,3.4512,left,1.0695,2.0,1.4475,1.0,1
5bdcf08f05ed110001ab2bbf,12.0,Joke,"After seeing the salad dressing, the tomato turned red",DRESSING,NAKED,CAESAR,2.2877,5.0,2.3486,left,1.2682,3.0,1.9481,1.0,1
5bdcf08f05ed110001ab2bbf,23.0,Sense1,Why did your brother go to jail? Because he was framed,FRAMED,TRAPPED,WOODEN,2.0182,4.0,2.769,right,1.3062,1.0,1.1479,0.0,1
5bdcf08f05ed110001ab2bbf,24.0,Sense1,A mortuary can be thought of as a dead center,DEAD CENTER,COFFIN,MIDDLE,3.3179,7.0,6.233,left,2.3206,2.0,2.6647,3.0,0
5bdcf08f05ed110001ab2bbf,34.0,Sense2,"I used to vote for the left, I'm all right now.",ALL RIGHT,OK,DIRECTION,8.9508,3.0,5.8986,left,3.7144,1.0,1.2473,1.0,0
5bdcf08f05ed110001ab2bbf,28.0,Sense1,"I used to be into chess, but I lost interest",INTEREST,ENTHUSIASM,EARNINGS,1.8364,3.0,1.1322,right,1.0363,1.0,1.0979,1.0,1
5bdcf08f05ed110001ab2bbf,38.0,Sense2,"-Did you grind the nutmeg recently?
-Well, it was just ground this morning!",GROUND,DIRT,CRUSH,3.4684,3.0,4.5488,right,0.8415,1.0,1.1318,1.0,1
5bdcf08f05ed110001ab2bbf,27.0,Sense1,She wasn't expecting me because I came unannounced; she looked surprised.,LOOKED,APPEARED,EXPRESSION,3.2686,3.0,2.6181,right,0.8232,1.0,1.0991,1.0,1
5bdcf08f05ed110001ab2bbf,36.0,Sense2,How do you make the bride fast? Take away her food.,FAST,QUICK,HUNGRY,8.2506,3.0,1.7657,left,1.3273,1.0,1.1644,1.0,0
5bdcf08f05ed110001ab2bbf,23.0,Joke,Why did the painting go to jail? Because it was framed,FRAMED,TRAPPED,WOODEN,3.0555,5.0,1.6819,left,0.793,5.0,1.2643,1.0,1
5bdcf08f05ed110001ab2bbf,39.0,Sense1,The University Student was happy in the winter. He had a great fall.,FALL,AUTUMN,SLIP,6.0372,3.0,3.1159,right,0.9504,1.0,1.1311,1.0,1
5bdcf08f05ed110001ab2bbf,36.0,Sense1,How do you make the car fast? Take away the brakes.,FAST,QUICK,HUNGRY,5.5527,3.0,1.9689,right,0.7496,1.0,1.1118,1.0,1
5bdcf08f05ed110001ab2bbf,24.0,Joke,The graveyard is the dead center of town,DEAD CENTER,COFFIN,MIDDLE,5.3441,7.0,1.8831,left,1.3102,5.0,1.7814,3.0,1
5bdcf08f05ed110001ab2bbf,6.0,Sense2,The problem with some people is that they always take things literally.,TAKE,STOLEN,PERSPECTIVE,5.5441,5.0,3.1488,right,1.2571,1.0,1.3846,1.0,1
5bdcf08f05ed110001ab2bbf,22.0,Joke,The skeleton didn't ask her out. He didn't have the guts,GUTS,COURAGE,ORGANS,2.0505,4.0,1.6993,left,0.9168,5.0,2.2639,0.0,1
5bdcf08f05ed110001ab2bbf,1.0,Sense2,"- Is this safe to eat? 
- Yes, I had it for breakfast",SAFE,BANK,HARMLESS,1.9681,5.0,2.1154,right,0.794,1.0,1.6312,1.0,1
5bdcf08f05ed110001ab2bbf,8.0,Sense2,"The foreman told him to go to the mine. He said: ""that's what you pay me for""",MINE,BELONG,QUARRY,2.9937,4.0,3.9318,right,2.2012,3.0,7.6647,0.0,1
5bdcf08f05ed110001ab2bbf,30.0,Joke,"I wondered why the car was getting bigger, and then it hit me.",IT HIT ME,REALISE,STRIKE,3.5202,3.0,1.5022,left,0.7178,5.0,1.2311,1.0,1
5bdcf08f05ed110001ab2bbf,26.0,Joke,I got fired from the calendar factory. All I did was take a day off.,DAY OFF,LEAVE,RIP,7.8786,1.0,2.3792,left,0.8911,3.0,2.6476,3.0,1
5bdcf08f05ed110001ab2bbf,2.0,Sense2,The key to a happy life is to stay positive,POSITIVE,STEROIDS,ATTITUDE,1.1662,6.0,3.7655,right,1.0768,1.0,1.1347,2.0,1
5bdcf08f05ed110001ab2bbf,9.0,Sense2,"I don't like people who take my stuff, for example: airport security.",TAKE,SNATCH,USE,6.7972,2.0,4.5869,right,0.8535,1.0,1.781,2.0,1
5bdcf08f05ed110001ab2bbf,38.0,Sense1,"-There is only sea here 
-Well, it was just ground this morning!",GROUND,DIRT,CRUSH,5.1527,3.0,2.4493,right,1.1361,3.0,1.968,1.0,1
5bdcf08f05ed110001ab2bbf,35.0,Sense1,The teacher loved the summer because there were no classes,CLASSES,SCHOOL,STATUS,2.9395,2.0,1.7851,right,0.8336,1.0,1.1482,2.0,1
5bdcf08f05ed110001ab2bbf,7.0,Sense2,The teacher was fired because she could not control her pupils,PUPILS,STUDENTS,EYES,3.2115,4.0,1.7651,right,1.227,1.0,1.148,0.0,1
5bdcf08f05ed110001ab2bbf,40.0,Sense1,Local man arrested: charged with battery,BATTERY,ASSAULT,POWERED,1.9576,3.0,1.769,right,0.6172,1.0,1.1948,1.0,1
5bdcf08f05ed110001ab2bbf,25.0,Joke,She had a photographic memory but never developed it.,DEVELOPED,IMPROVE,FILM,2.7757,4.0,1.5357,left,0.7673,2.0,1.2484,0.0,1
5bdcf08f05ed110001ab2bbf,21.0,Joke,The calendar was worried. Its days were numbered.,NUMBERED,LIMITED,SEQUENCE,3.1898,4.0,1.9981,left,1.5666,5.0,1.1282,0.0,1
5bdcf08f05ed110001ab2bbf,10.0,Sense2,"-Order in the court! 
-I apologise, I will be silent, your Honour. ",ORDER,ASK,JUDGE,1.4948,3.0,2.7652,right,1.1871,1.0,1.0975,1.0,1
5bdcf08f05ed110001ab2bbf,34.0,Sense1,"I was sick for a long time, I'm all right now.",ALL RIGHT,OK,DIRECTION,1.9411,2.0,1.7825,right,0.928,1.0,1.0682,2.0,1
5bdcf08f05ed110001ab2bbf,29.0,Joke,"I couldn't figure out how to use the seatbelt, but then it clicked.",IT CLICKED,INSIGHT,SOUND,2.6837,4.0,2.6986,left,1.8943,5.0,1.0022,0.0,1
5bdcf08f05ed110001ab2bbf,37.0,Sense1,It's hard for people with neon clothes to hide as they're always spotted.,SPOTTED,SEEN,PATTERNED,3.1058,4.0,2.4135,right,0.7331,3.0,2.4453,0.0,1
5bdcf08f05ed110001ab2bbf,4.0,Sense2,"The oven was ready for the pizza, it was wood fired",FIRED,BURN,UNEMPLOYED,3.4911,5.0,1.5526,right,1.1605,1.0,1.1513,1.0,1
5bdcf08f05ed110001ab2bbf,31.0,Sense1,"I wanted to learn how to operate the new machine, but I couldn't find a manual",MANUAL,HANDBOOK,TRANSMISSION,3.3391,2.0,2.1488,right,0.8435,1.0,1.1684,2.0,1
5bdcf08f05ed110001ab2bbf,27.0,Joke,I told her that she was drawing her eyebrows too high; she looked surprised,LOOKED,APPEARED,EXPRESSION,5.4765,3.0,1.4692,left,0.6208,6.0,2.5364,1.0,1
5bdcf08f05ed110001ab2bbf,28.0,Joke,"I used to be a banker, but I lost interest",INTEREST,ENTHUSIASM,EARNINGS,5.4946,4.0,2.5468,left,3.5232,3.0,0.9183,0.0,1
5bdcf08f05ed110001ab2bbf,3.0,Sense2,Two cellphones were tested. The reception was fantastic,RECEPTION,SIGNAL,PARTY,2.9516,3.0,2.9032,right,0.8921,1.0,1.1853,1.0,1
5bdcf08f05ed110001ab2bbf,33.0,Sense1,I tried to sing a very difficult song but I couldn't nail it.,NAIL IT,SUCCEED,RUST,1.5994,1.0,2.0339,right,0.9016,1.0,1.1992,3.0,1
5bdcf08f05ed110001ab2bbf,5.0,Sense2,Two soldiers in a tank. One says: How do you drive this thing?,TANK,WAR,WATER,2.2881,3.0,3.3163,right,0.6864,3.0,2.2028,1.0,1
5bdcf08f05ed110001ab2bbf,32.0,Sense1,"I thought I'd have cashews and almonds in my balanced meal, but that's just nuts",NUTS!,SQUIRREL,CRAZY,4.5842,7.0,2.4822,left,0.9237,5.0,1.1012,3.0,0
5bdcf08f05ed110001ab2bbf,31.0,Joke,"I wanted to learn to use the gear stick, but I couldn't find a manual",MANUAL,HANDBOOK,TRANSMISSION,11.0668,3.0,1.5521,left,0.5833,1.0,1.1117,1.0,1
5bdcf08f05ed110001ab2bbf,9.0,Sense1,"I don't like people who take drugs, for example: cocaine addicts",TAKE,SNATCH,USE,2.0938,7.0,1.6991,right,0.8332,1.0,1.1976,3.0,1
5bdcf08f05ed110001ab2bbf,12.0,Sense2,"After seeing the woman dressing, the man turned red",DRESSING,NAKED,CAESAR,2.281,3.0,1.8522,right,0.85,1.0,1.0956,1.0,1
5bdcf08f05ed110001ab2bbf,2.0,Sense1,Sometimes in sports anti-doping tests are positive,POSITIVE,STEROIDS,ATTITUDE,2.69,5.0,1.5698,right,0.7505,1.0,1.2318,1.0,1
5bdcf08f05ed110001ab2bbf,36.0,Joke,How do you make the turtle fast? Take away its food.,FAST,QUICK,HUNGRY,3.1186,4.0,3.7697,left,1.0833,6.0,2.1287,0.0,1
5bdcf08f05ed110001ab2bbf,14.0,Sense2,"I heard he wanted a roll for lunch, I went to the bakery",ROLL,BREAD,SUCCESS,2.7851,2.0,1.4841,right,0.6775,1.0,1.1643,2.0,1
5bdcf08f05ed110001ab2bbf,18.0,Sense2,Why was the convict arrested? For holding up a bank,HOLDING UP,FASTEN,ROB,1.6605,5.0,1.6495,right,0.4915,1.0,1.0514,1.0,1
5bdcf08f05ed110001ab2bbf,10.0,Sense1,"-Order in the cafeteria 
-Ham and cheese on rye, please. ",ORDER,ASK,JUDGE,2.589,2.0,2.1652,right,0.5416,1.0,1.0145,2.0,1
5bdcf08f05ed110001ab2bbf,15.0,Sense2,"I asked the librarian for books about cooking. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,2.1351,3.0,1.499,right,0.4259,1.0,1.5181,1.0,1
5bdcf08f05ed110001ab2bbf,17.0,Sense2,Secret agents don't date because they don't want to give away their covers,COVERS,DUVET,IDENTITY,3.2361,3.0,0.9192,right,0.4051,1.0,1.0643,1.0,1
5bdcf08f05ed110001ab2bbf,34.0,Joke,"I lost my left hand in an accident, I'm all right now.",ALL RIGHT,OK,DIRECTION,2.5344,2.0,2.7819,left,1.7255,5.0,1.8312,2.0,1
5bdcf08f05ed110001ab2bbf,33.0,Joke,I tried to be a carpenter but I couldn't nail it.,NAIL IT,SUCCEED,RUST,5.2297,2.0,2.3653,left,3.2251,2.0,1.349,2.0,1
5bdcf08f05ed110001ab2bbf,1.0,Sense1,"- Is this safe locked? 
- No, I left it open on purpose",SAFE,BANK,HARMLESS,2.3787,5.0,1.6024,right,0.9504,1.0,1.115,1.0,1
5bdcf08f05ed110001ab2bbf,39.0,Joke,Humpty Dumpty was happy in the winter. He had a great fall.,FALL,AUTUMN,SLIP,14.791,3.0,1.6831,left,2.034,1.0,1.548,1.0,1
5bdcf08f05ed110001ab2bbf,40.0,Joke,Energizer bunny arrested: charged with battery,BATTERY,ASSAULT,POWERED,2.1826,3.0,2.299,left,1.1402,3.0,1.9142,1.0,1
5bdcf08f05ed110001ab2bbf,19.0,Sense2,The actor ran from left to right: he was going across the stage,STAGE,THEATER,PHASE,4.2505,3.0,2.0351,right,0.5572,1.0,1.1347,1.0,1
5bdcf08f05ed110001ab2bbf,5.0,Sense1,Two fish in a tank. One says: When do you think we'll get fed?,TANK,WAR,WATER,1.8877,5.0,1.5855,right,0.5718,1.0,1.0643,1.0,1
5bdcf08f05ed110001ab2bbf,32.0,Joke,"I thought about going on an all-almond diet, but that's just nuts!",NUTS!,SQUIRREL,CRAZY,3.6563,7.0,1.5821,left,0.8932,5.0,1.448,3.0,1
5bdcf08f05ed110001ab2bbf,11.0,Sense2,The circus hires clowns because they are funny,FUNNY,WEIRD,LAUGHTER,1.562,5.0,0.9684,right,0.7048,1.0,1.3344,1.0,1
5bdcf08f05ed110001ab2bbf,3.0,Sense1,Two friends got married. The reception was fantastic,RECEPTION,SIGNAL,PARTY,2.051,4.0,1.2687,right,0.7043,1.0,1.2145,0.0,1
5bdcf08f05ed110001ab2bbf,38.0,Joke,"-This coffee tastes like mud 
-Well, it was just ground this morning!",GROUND,DIRT,CRUSH,2.0354,4.0,1.5153,left,0.7305,3.0,1.2015,0.0,1
5bdcf08f05ed110001ab2bbf,35.0,Joke,The communist loved the summer because there were no classes,CLASSES,SCHOOL,STATUS,3.8535,3.0,1.9826,left,0.753,2.0,2.6187,1.0,1
5bdcf08f05ed110001ab2bbf,16.0,Sense2,You can't breathe on the moon because there's no atmosphere,ATMOSPHERE,LIVELY,OXYGEN,1.4904,4.0,1.7657,right,1.2102,1.0,1.1493,0.0,1
5bdcf08f05ed110001ab2bbf,4.0,Sense1,"The lawyer was not great at her job, she got fired",FIRED,BURN,UNEMPLOYED,2.0967,6.0,1.8995,right,1.0673,1.0,1.4007,2.0,1
5bdcf08f05ed110001ab2bbf,7.0,Sense1,The woman was cross-eyed because she could not control her pupils,PUPILS,STUDENTS,EYES,5.7486,4.0,1.7822,right,0.8122,1.0,2.2139,0.0,1
5bdcf08f05ed110001ab2bbf,13.0,Sense2,The bank had to fire a few employees because it had too many tellers,TELLERS,GOSSIP,CASHIER,2.5004,7.0,3.3322,right,0.791,1.0,1.3315,3.0,1
5bdcf08f05ed110001ab2bbf,37.0,Joke,It's hard for leopards to hide as they're always spotted.,SPOTTED,SEEN,PATTERNED,2.1903,4.0,2.132,left,0.6826,5.0,1.6642,0.0,1
5bdcf08f05ed110001ab2bbf,20.0,Sense2,Mac users get fewer viruses because they don't have Windows,WINDOWS,COMPUTER,GLASS,3.4452,5.0,4.3353,right,0.6365,1.0,1.1147,1.0,1
5bdcf08f05ed110001ab2bbf,8.0,Sense1,I told her I was going to make her mine. She loved the idea of marrying me,MINE,BELONG,QUARRY,1.8335,2.0,2.0356,right,2.8575,1.0,1.0488,2.0,1
5bdcf08f05ed110001ab2bbf,6.0,Sense1,The problem with thieves is that they always take other people's things,TAKE,STOLEN,PERSPECTIVE,3.3673,3.0,2.1675,right,0.9663,2.0,1.6121,1.0,1
664a0d8b5ef52adae600c9fa,2.0,Joke,The key to excel in sports is to stay positive,POSITIVE,STEROIDS,ATTITUDE,5.893,7.0,2.983,right,1.797,1.0,2.015,3.0,0
664a0d8b5ef52adae600c9fa,1.0,Joke,"- Is this safe to eat?
- No, it's for storing valuable objects",SAFE,BANK,HARMLESS,4.552,5.0,4.233,left,1.514,5.0,1.783,1.0,1
664a0d8b5ef52adae600c9fa,15.0,Sense1,"I asked the chief about the spies. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,10.336,5.0,4.199,left,1.658,2.0,1.633,1.0,0
664a0d8b5ef52adae600c9fa,10.0,Joke,"-Order in the court!
-Ham and cheese on rye, your Honour.",ORDER,ASK,JUDGE,7.544,2.0,3.616,left,1.228,2.0,1.533,2.0,1
664a0d8b5ef52adae600c9fa,22.0,Sense2,Jellyfish can't digest food internally. They don't have guts,GUTS,COURAGE,ORGANS,12.503,3.0,2.766,right,1.128,1.0,1.833,1.0,1
664a0d8b5ef52adae600c9fa,20.0,Sense1,Prisoners don't get enough light because they don't have windows,WINDOWS,COMPUTER,GLASS,3.445,6.0,2.199,right,1.511,1.0,1.416,2.0,1
664a0d8b5ef52adae600c9fa,24.0,Sense2,The square is the dead center of town,DEAD CENTER,COFFIN,MIDDLE,2.299,7.0,2.715,right,0.999,1.0,1.066,3.0,1
664a0d8b5ef52adae600c9fa,7.0,Joke,The teacher's eyes were crossed because she could not control her pupils,PUPILS,STUDENTS,EYES,5.167,1.0,2.649,left,2.133,3.0,1.233,3.0,1
664a0d8b5ef52adae600c9fa,4.0,Joke,"Joan d'Arc was not great at her job, she got fired",FIRED,BURN,UNEMPLOYED,3.872,7.0,1.883,left,1.186,1.0,1.099,3.0,1
664a0d8b5ef52adae600c9fa,21.0,Sense2,The calendar was useful. Its pages were numbered.,NUMBERED,LIMITED,SEQUENCE,2.363,7.0,2.849,right,1.046,1.0,1.449,3.0,1
664a0d8b5ef52adae600c9fa,6.0,Joke,The problem with kleptomaniacs is that they always take things literally.,TAKE,STOLEN,PERSPECTIVE,2.802,2.0,2.699,left,0.912,4.0,1.132,2.0,1
664a0d8b5ef52adae600c9fa,28.0,Sense2,"I used to make money off my savings, but I lost the interest",INTEREST,ENTHUSIASM,EARNINGS,3.801,3.0,1.682,left,1.287,2.0,1.366,1.0,0
664a0d8b5ef52adae600c9fa,13.0,Sense1,The receptionist considered himself a teller of hard truths,TELLERS,GOSSIP,CASHIER,3.086,5.0,4.164,right,0.913,1.0,1.316,1.0,1
