ID,Condition,Joke,Critical,Meaning1,Meaning2,key_resp_sentence.rt,key_resp_relatedness.rt,key_resp_IsItJoke.rt,slider_IsItFunny_responseValue,slider_IsItFunny_responseTime,Correct,key_resp_sentence.rt_winsor,key_resp_relatedness.rt_winsor,key_resp_IsItJoke.rt_winsor,slider_IsItFunny_responseTime_winsor,N_correct
17.0,Sense1,Sleepy people don't want to give up their bed covers,COVERS,DUVET,IDENTITY,5.908533333499999,3.116766666666667,2.92075,2.3333333333333335,2.2279833333333334,1.0,5.587982500166665,2.3327524999999985,2.0633741666666663,2.202133333333333,6
29.0,Sense2,"I thought pressing the camera button was doing nothing, but then it clicked.",IT CLICKED,INSIGHT,SOUND,8.318950000000001,4.0654,2.59165,3.0,2.3981,1.0,8.318950000000001,4.0654,2.59165,2.3981,2
26.0,Sense2,I did not destroy the calendar. All I did was rip a day off.,DAY OFF,LEAVE,RIP,5.2533,4.6278,2.7531,1.0,3.3308,1.0,5.2533,4.6278,2.7531,3.3308,1
18.0,Sense1,Why was the belt created? For holding up a pair of pants,HOLDING UP,FASTEN,ROB,6.114842857142857,2.088742857142857,2.0755285714285714,1.8571428571428572,2.0211571428571427,1.0,6.114842857142857,2.088742857142857,2.0755285714285714,2.0211571428571427,7
3.0,Joke,Two cellphones got married. The reception was fantastic,RECEPTION,SIGNAL,PARTY,5.6744111111111115,2.5231777776666666,1.6026666666666667,5.666666666666667,2.0515555555555554,1.0,5.312243888888888,2.5231777776666666,1.6042783333333333,1.9441666666666666,9
8.0,Joke,I told her I was going to make her mine. She has extracted two rubies so far,MINE,BELONG,QUARRY,8.328985714285714,3.6364142857142854,1.9519285714285712,5.285714285714286,2.355714285714286,1.0,7.989284999999998,2.9264592857142846,1.9705578571428572,2.3148999999999993,7
27.0,Sense2,I told her that she was drawing her eyebrows too high; she looked angry,LOOKED,APPEARED,EXPRESSION,5.28385,3.66065,4.60965,2.0,1.9391,1.0,5.28385,3.66065,3.9358724999999986,1.9391,2
25.0,Sense2,She had a photographic negative but never developed it.,DEVELOPED,IMPROVE,FILM,4.929114285714285,3.5139285714285715,2.701971428571429,1.7142857142857142,2.0166,1.0,4.929114285714285,3.4707307142857133,2.701971428571429,2.0166,7
19.0,Sense1,The toddler would only eat pasta: he was going through a stage,STAGE,THEATER,PHASE,6.7912999998888886,2.5214222222222222,1.4205222222222222,1.6666666666666667,1.806611111111111,1.0,6.756299444333333,2.493803888888888,1.4205222222222222,1.806611111111111,9
12.0,Sense1,"After seeing the salad dressing, the chef was satisfied",DRESSING,NAKED,CAESAR,4.157325,3.10135,2.14335,1.25,1.9888,1.0,4.157325,2.995453749999998,2.14335,1.9888,4
23.0,Sense2,Why did the painting cost extra? Because it was framed,FRAMED,TRAPPED,WOODEN,4.8590333333333335,3.2569666666666666,1.4586333333333332,1.3333333333333333,2.035266666666667,1.0,4.8590333333333335,3.2569666666666666,1.4586333333333332,2.035266666666667,3
30.0,Sense2,"I saw the car didn't stop at the red light, and then it hit me.",IT HIT ME,REALISE,STRIKE,6.0250999998,4.90164,4.178240000000001,2.4,1.8865600002,1.0,6.0250999998,4.591102999999999,3.287937999999999,1.8865600002,5
14.0,Sense1,"I heard he was on a roll, turns out his last three books were bestsellers.",ROLL,BREAD,SUCCESS,6.35804,2.46006,1.7681399999,1.8,2.10339,1.0,6.35804,2.46006,1.7681399999,2.10339,10
16.0,Sense1,"The restaurant at the resort had great food, but no atmosphere",ATMOSPHERE,LIVELY,OXYGEN,7.476228571428571,2.344257142857143,1.6810571428571428,1.4285714285714286,1.6395428571428572,1.0,6.267970714285712,2.344257142857143,1.6810571428571428,1.6395428571428572,7
9.0,Joke,"I don't like people who take drugs, for example: airport security.",TAKE,SNATCH,USE,5.790399999999999,2.946042857142857,1.3736142857142857,5.142857142857143,2.0390714285714284,1.0,5.790399999999999,2.946042857142857,1.3736142857142857,1.9126285714285713,7
26.0,Sense1,I got fired from the chocolate factory. All I did was take a day off.,DAY OFF,LEAVE,RIP,4.833844444333334,2.051266666777778,1.607477777888889,1.5555555555555556,2.087788888888889,1.0,4.833844444333334,2.051266666777778,1.6233116667777778,2.0052888888888885,9
19.0,Joke,The actor fell through the floorboards: he was going through a stage,STAGE,THEATER,PHASE,5.156657142857143,3.3939714285714286,1.4029428571428573,4.857142857142857,1.8735,1.0,5.156657142857143,2.403587857142856,1.4029428571428573,1.885417142857143,7
17.0,Joke,Secret agents don't sleep because they don't want to give away their covers,COVERS,DUVET,IDENTITY,5.325162499999999,1.35155,1.1414875,4.625,1.855300000125,1.0,5.325162499999999,1.3755525,1.187200625,1.855300000125,8
37.0,Sense2,It's hard for leopards to have plain fur as they're always spotted.,SPOTTED,SEEN,PATTERNED,6.351866667,2.3641333330000003,2.6552666666666664,3.3333333333333335,2.258433333333333,1.0,6.351866667,2.3641333330000003,2.6552666666666664,2.258433333333333,3
14.0,Joke,"I heard he was on a roll, turns out he fell asleep at the bakery.",ROLL,BREAD,SUCCESS,7.14005,3.3338900001,2.16249,4.8,1.71251,1.0,6.504908999999998,3.0285530000999983,1.9627149999999998,1.6716199999999997,10
22.0,Sense1,The man didn't ask her out. He didn't have the guts,GUTS,COURAGE,ORGANS,5.67517142857143,1.5908714285714285,3.245242857142857,1.7142857142857142,1.7796,1.0,4.876627857142856,1.6052457142857144,3.245242857142857,1.7796,7
25.0,Sense1,She had a bright mind but never developed it.,DEVELOPED,IMPROVE,FILM,4.8047625,1.4790875,1.739875,2.0,1.6164874999999999,1.0,4.7408118749999995,1.4840775000000002,1.756463125,1.6164874999999999,8
32.0,Sense2,"Some people believe the earth is flat, but that's just nuts!",NUTS!,SQUIRREL,CRAZY,7.959774999875,1.387337499875,2.0542375,1.625,1.680162500125,1.0,4.858649374874999,1.390277499875,2.0542375,1.680162500125,8
20.0,Joke,Mac users don't get enough sunlight because they don't have Windows,WINDOWS,COMPUTER,GLASS,4.747960000000001,2.5166299999,1.9967399999000002,5.1,1.9437700001,1.0,4.747960000000001,2.1423734998999993,1.9646149999999998,1.9037800000999998,10
16.0,Joke,"The restaurant on the moon had great food, but no atmosphere",ATMOSPHERE,LIVELY,OXYGEN,5.337477777777778,3.4510222223333336,1.4684666665555557,5.333333333333333,2.071188888888889,1.0,5.344620555555555,2.92393500011111,1.4684666665555557,1.8130888888888888,9
21.0,Sense1,The man on death row was worried. His days were numbered.,NUMBERED,LIMITED,SEQUENCE,4.8043,1.645657142857143,2.7983142855714283,1.1428571428571428,1.7429857142857144,1.0,4.8043,1.645657142857143,2.0714207141428567,1.7429857142857144,7
33.0,Sense2,"I tried a bigger hammer to fix the painting to the wall, but I couldn't nail it.",NAIL IT,SUCCEED,RUST,6.521233333666667,3.589,2.8131,1.3333333333333333,1.3678666666666668,1.0,6.521233333666667,3.483938333333331,2.8131,1.3678666666666668,3
13.0,Joke,The bank couldn't keep any secrets because it had too many tellers,TELLERS,GOSSIP,CASHIER,4.108044444444444,3.2970111111111113,1.2182666666666666,5.444444444444445,1.7196,1.0,4.112853888888889,2.90104611111111,1.2241561111111112,1.7196,9
15.0,Joke,"I asked the librarian for books about paranoia. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,5.435528571428571,1.9112857142857143,2.1622857142857144,4.857142857142857,1.5076142857142858,1.0,5.435528571428571,1.9112857142857143,1.8446928571428567,1.5076142857142858,7
31.0,Sense2,"I wanted to buy a car with a gear stick, but I couldn't find a manual",MANUAL,HANDBOOK,TRANSMISSION,5.90139,4.61485,3.2140699999,5.0,1.69218,0.0,5.90139,2.8341749999999983,1.9988244998999996,1.69218,0
40.0,Sense2,No need to plug in the toy: its battery is charged,BATTERY,ASSAULT,POWERED,5.935985714285714,2.4537428571428572,2.186857142857143,1.7142857142857142,1.8657714285714284,1.0,5.528042142857141,2.1190021428571417,1.827878571428571,1.8657714285714284,7
30.0,Sense1,"I had no idea who could have done this, and then it hit me.",IT HIT ME,REALISE,STRIKE,3.9619142857142857,1.7730571428571429,2.4009714285714283,1.7142857142857142,1.812457143,1.0,4.005783571428571,1.7730571428571429,2.241663571428571,1.812457143,7
11.0,Joke,Cannibals don't eat clowns because they taste funny,FUNNY,WEIRD,LAUGHTER,5.126287499875,2.7598374999999997,1.935712499875,5.875,1.883875,1.0,5.126287499875,2.7598374999999997,1.935712499875,1.8336774999999998,8
39.0,Sense2,The man had broken his hip in the winter. He had a great fall.,FALL,AUTUMN,SLIP,5.297140000000001,3.24998,1.55288,1.8,2.1702000000000004,1.0,5.297140000000001,3.24998,1.55288,1.9901799999999994,5
35.0,Sense2,Communists love economic equality because there are no classes,CLASSES,SCHOOL,STATUS,5.741416666666666,1.8243,1.5662333331666665,2.3333333333333335,1.8934166666666667,1.0,5.618649166666665,1.8243,1.5662333331666665,1.9371033333333336,6
29.0,Sense1,"I couldn't figure out how to solve the math problem, but then it clicked.",IT CLICKED,INSIGHT,SOUND,5.623557142857143,2.2272142857142856,2.265657142857143,1.8571428571428572,1.7648571428571427,1.0,5.551356428571428,2.2272142857142856,2.1151064285714285,1.7648571428571427,7
18.0,Joke,Why was the belt arrested? For holding up a pair of pants,HOLDING UP,FASTEN,ROB,5.40399,2.47639,1.1650000001,5.3,1.58886,1.0,5.292837999999999,2.47639,1.1815505,1.592714,10
12.0,Joke,"After seeing the salad dressing, the tomato turned red",DRESSING,NAKED,CAESAR,3.7067799999999997,2.83608,1.7083499999,5.0,1.4372500000000001,1.0,3.7775869999999996,2.6982814999999993,1.7083499999,1.444652,10
23.0,Sense1,Why did your brother go to jail? Because he was framed,FRAMED,TRAPPED,WOODEN,3.417157142857143,1.9599142857142857,2.1131428572857143,1.4285714285714286,1.9389857142857143,1.0,3.417157142857143,1.9599142857142857,2.1131428572857143,1.9389857142857143,7
24.0,Sense1,A mortuary can be thought of as a dead center,DEAD CENTER,COFFIN,MIDDLE,4.633216666666667,1.8266333335,2.3302166664999997,1.1666666666666667,1.4576500000000001,1.0,4.633216666666667,1.8266333335,2.3302166664999997,1.4576500000000001,6
34.0,Sense2,"I used to vote for the left, I'm all right now.",ALL RIGHT,OK,DIRECTION,3.6923000003333333,2.737133333333334,2.564833333333333,1.6666666666666667,1.5507333333333333,1.0,3.6923000003333333,2.737133333333334,2.564833333333333,1.5507333333333333,3
28.0,Sense1,"I used to be into chess, but I lost interest",INTEREST,ENTHUSIASM,EARNINGS,3.7509625,1.6052374999999999,2.052199999875,1.625,1.8729875,1.0,3.791235625,1.6052374999999999,2.052199999875,1.8729875,8
38.0,Sense2,"-Did you grind the nutmeg recently?
-Well, it was just ground this morning!",GROUND,DIRT,CRUSH,10.136222222333334,2.0416666666666665,2.5944555555555557,1.8888888888888888,1.6196555555555556,1.0,8.281475555666663,2.0416666666666665,2.336505,1.6196555555555556,9
27.0,Sense1,She wasn't expecting me because I came unannounced; she looked surprised.,LOOKED,APPEARED,EXPRESSION,4.33986,1.6894500000000001,2.2235000001,1.7,1.47417,1.0,4.33986,1.6894500000000001,2.2235000001,1.474512,10
36.0,Sense2,How do you make the bride fast? Take away her food.,FAST,QUICK,HUNGRY,7.559233333333334,2.4897,1.3920333333333332,1.0,1.2470333333333332,1.0,7.559233333333334,2.4897,1.3920333333333332,1.2470333333333332,3
23.0,Joke,Why did the painting go to jail? Because it was framed,FRAMED,TRAPPED,WOODEN,3.5512375,3.679325,1.64685,4.875,1.6237,1.0,3.5512375,2.207564374999999,1.649713125,1.6470175,8
39.0,Sense1,The University Student was happy in the winter. He had a great fall.,FALL,AUTUMN,SLIP,5.085675,1.957425,2.9112999997499998,2.25,2.01332499975,1.0,5.085675,1.96213,2.8885862499999995,2.0029499997499993,4
36.0,Sense1,How do you make the car fast? Take away the brakes.,FAST,QUICK,HUNGRY,3.4311,0.8274999995000001,2.1611,2.0,1.4883,1.0,3.4311,0.84186,2.1611,1.4883,2
24.0,Joke,The graveyard is the dead center of town,DEAD CENTER,COFFIN,MIDDLE,3.1897555555555552,2.3724333332222223,1.4297222222222221,4.666666666666667,1.4928999998888888,1.0,3.263428333333333,2.3724333332222223,1.4297222222222221,1.4432599998888886,9
6.0,Sense2,The problem with some people is that they always take things literally.,TAKE,STOLEN,PERSPECTIVE,3.4226285712857143,1.3449714285714285,1.389857142857143,1.8571428571428572,1.5973857142857142,1.0,3.4226285712857143,1.3449714285714285,1.389857142857143,1.5973857142857142,7
22.0,Joke,The skeleton didn't ask her out. He didn't have the guts,GUTS,COURAGE,ORGANS,4.014122222222222,1.4341999998888888,2.0414555554444447,5.111111111111111,1.7266222222222223,1.0,4.037609444444445,1.4341999998888888,2.0498783333333335,1.7266222222222223,9
1.0,Sense2,"- Is this safe to eat? 
- Yes, I had it for breakfast",SAFE,BANK,HARMLESS,3.8476222222222223,1.210788888888889,1.5583,1.5555555555555556,1.7286333333333335,1.0,3.8476222222222223,1.210788888888889,1.5602783333333334,1.7286333333333335,9
8.0,Sense2,"The foreman told him to go to the mine. He said: ""that's what you pay me for""",MINE,BELONG,QUARRY,7.7234100001,1.47202,2.11674,1.7,1.5961499999000002,1.0,7.478869500099999,1.47202,2.1113744999999997,1.6197319999000002,10
30.0,Joke,"I wondered why the car was getting bigger, and then it hit me.",IT HIT ME,REALISE,STRIKE,4.2796,3.0677000001111114,1.8276666666666666,5.0,1.507288888888889,1.0,4.312976111111111,1.9499705556666658,1.8276666666666666,1.507288888888889,9
26.0,Joke,I got fired from the calendar factory. All I did was take a day off.,DAY OFF,LEAVE,RIP,5.1572375,1.620125,1.7837,4.75,1.515825,1.0,5.055697499999999,1.7066025,1.789838125,1.515825,8
2.0,Sense2,The key to a happy life is to stay positive,POSITIVE,STEROIDS,ATTITUDE,3.009822222222222,2.152533333333333,1.6547444445555555,1.5555555555555556,1.5710333334444444,1.0,3.0690094444444447,2.152533333333333,1.6618672223333335,1.5710333334444444,9
9.0,Sense2,"I don't like people who take my stuff, for example: airport security.",TAKE,SNATCH,USE,3.4742333333333337,1.9858,1.3427333333333333,1.6666666666666667,1.5582666666666667,1.0,3.5133283333333334,1.9858,1.3427333333333333,1.5582666666666667,3
38.0,Sense1,"-There is only sea here 
-Well, it was just ground this morning!",GROUND,DIRT,CRUSH,7.117225,1.8063,1.260375,1.5,1.6069499999999999,1.0,6.115323749999998,1.8063,1.3232525,1.6069499999999999,4
35.0,Sense1,The teacher loved the summer because there were no classes,CLASSES,SCHOOL,STATUS,4.160675,1.491825,3.09905,2.125,1.433375000125,1.0,4.160675,1.491825,2.4827812499999995,1.451165000125,8
7.0,Sense2,The teacher was fired because she could not control her pupils,PUPILS,STUDENTS,EYES,4.3269899999,1.1896600000000002,1.7864,1.5,1.7812799999,1.0,3.8736494998999995,1.211706,1.8005205,1.7812799999,10
40.0,Sense1,Local man arrested: charged with battery,BATTERY,ASSAULT,POWERED,7.787157142857143,1.7049714284285713,1.5104285714285715,1.5714285714285714,1.4586428571428571,1.0,4.314242142857142,1.7091742855714287,1.5104285714285715,1.4586428571428571,7
25.0,Joke,She had a photographic memory but never developed it.,DEVELOPED,IMPROVE,FILM,3.3612428571428574,1.9181857142857142,1.3355999998571428,4.714285714285714,1.1319428571428571,1.0,3.3612428571428574,1.9181857142857142,1.354829999857143,1.1541485714285713,7
21.0,Joke,The calendar was worried. Its days were numbered.,NUMBERED,LIMITED,SEQUENCE,7.495177777777777,1.6898333333333335,1.3867444444444443,4.888888888888889,1.288211111111111,1.0,4.353019999999999,1.6898333333333335,1.4032672222222222,1.3123244444444444,9
10.0,Sense2,"-Order in the court! 
-I apologise, I will be silent, your Honour. ",ORDER,ASK,JUDGE,5.1472875,3.384062499875,2.390262499875,1.625,1.9477875,1.0,5.1472875,3.229089374999999,2.314480624875,1.9294499999999997,8
34.0,Sense1,"I was sick for a long time, I'm all right now.",ALL RIGHT,OK,DIRECTION,3.318811111111111,1.1933666667777778,1.5007555555555556,1.6666666666666667,1.5639888887777778,1.0,3.3791855555555554,1.2091022223333332,1.508333888888889,1.5777355554444443,9
29.0,Joke,"I couldn't figure out how to use the seatbelt, but then it clicked.",IT CLICKED,INSIGHT,SOUND,6.802111111111112,1.5236333333333334,1.4794333333333334,5.222222222222222,1.3914222222222223,1.0,4.200753333333332,1.5236333333333334,1.4863338888888888,1.4122133333333333,9
37.0,Sense1,It's hard for people with neon clothes to hide as they're always spotted.,SPOTTED,SEEN,PATTERNED,4.99208,1.7407,2.45188,1.4,1.97136,1.0,4.99208,1.7407,2.076228999999999,1.97136,5
4.0,Sense2,"The oven was ready for the pizza, it was wood fired",FIRED,BURN,UNEMPLOYED,5.608585714428571,1.1834142857142855,2.356242857142857,1.5714285714285714,1.9670428571428573,1.0,5.506027857285714,1.2027314285714286,2.356242857142857,1.806442857142857,7
31.0,Sense1,"I wanted to learn how to operate the new machine, but I couldn't find a manual",MANUAL,HANDBOOK,TRANSMISSION,4.6643875,1.9690875001250001,1.882424999875,2.0,1.3791125,1.0,4.6643875,1.9690875001250001,1.882424999875,1.3791125,8
27.0,Joke,I told her that she was drawing her eyebrows too high; she looked surprised,LOOKED,APPEARED,EXPRESSION,5.2945142857142855,1.7276857142857143,1.3892,5.285714285714286,1.6853,1.0,5.2945142857142855,1.7320028571428572,1.411815,1.7091742857142858,7
28.0,Joke,"I used to be a banker, but I lost interest",INTEREST,ENTHUSIASM,EARNINGS,2.6615285714285717,2.049185714285714,1.2800857142857143,4.571428571428571,1.3784571428571428,1.0,2.7488957142857147,1.9503735714285704,1.2800857142857143,1.3827885714285715,7
3.0,Sense2,Two cellphones were tested. The reception was fantastic,RECEPTION,SIGNAL,PARTY,3.7554000000000003,2.0466285714285712,1.7320428571428572,1.7142857142857142,2.495857142857143,1.0,3.7554000000000003,1.9353307142857132,1.7989864285714285,2.2953999999999994,7
33.0,Sense1,I tried to sing a very difficult song but I couldn't nail it.,NAIL IT,SUCCEED,RUST,3.5627714285714283,0.965642857,1.6313857144285715,1.8571428571428572,1.407957142857143,1.0,3.5627714285714283,0.974202857,1.636972143,1.407957142857143,7
5.0,Sense2,Two soldiers in a tank. One says: How do you drive this thing?,TANK,WAR,WATER,2.583814285714286,1.4174714285714285,1.2768857141428571,1.7142857142857142,1.2929714285714287,1.0,2.6685264285714285,1.431017142857143,1.2773864284285714,1.3265742857142857,7
32.0,Sense1,"I thought I'd have cashews and almonds in my balanced meal, but that's just nuts",NUTS!,SQUIRREL,CRAZY,5.0695600001,2.71441,2.52456,4.7,1.2626300000000001,0.0,5.0850785001,2.636711499999999,2.4191045,1.2948439999999999,0
31.0,Joke,"I wanted to learn to use the gear stick, but I couldn't find a manual",MANUAL,HANDBOOK,TRANSMISSION,6.877957142857143,5.299585714285714,2.367485714285714,4.857142857142857,1.2064,1.0,5.211556428571427,2.4696164285714275,2.37583,1.2450485714285713,7
9.0,Sense1,"I don't like people who take drugs, for example: cocaine addicts",TAKE,SNATCH,USE,2.88645,0.99955,1.731,1.875,1.37465,1.0,2.942848125,1.0402675000000001,1.750938125,1.37465,8
12.0,Sense2,"After seeing the woman dressing, the man turned red",DRESSING,NAKED,CAESAR,2.702916666666667,1.1071,1.3878333333333333,1.6666666666666667,1.3015666666666668,1.0,2.7854449999999997,1.1440366666666668,1.4197341666666665,1.3015666666666668,6
2.0,Sense1,Sometimes in sports anti-doping tests are positive,POSITIVE,STEROIDS,ATTITUDE,4.881390000000001,3.2596199999,1.7913600000000003,1.8,1.48678,1.0,4.306488,2.1852514998999992,1.7913600000000003,1.494084,10
36.0,Joke,How do you make the turtle fast? Take away its food.,FAST,QUICK,HUNGRY,4.8947625,5.8313375,1.3500375,4.25,1.305462499875,1.0,4.8947625,2.681164374999999,1.3500375,1.305462499875,8
14.0,Sense2,"I heard he wanted a roll for lunch, I went to the bakery",ROLL,BREAD,SUCCESS,3.1064875,0.9570500000000001,1.328862499875,1.625,1.445900000125,1.0,3.140723125,1.0139825,1.355013124875,1.457090000125,8
18.0,Sense2,Why was the convict arrested? For holding up a bank,HOLDING UP,FASTEN,ROB,3.6481125,1.3544,1.4682625,1.625,1.260625,1.0,3.690873125,1.3544,1.478125625,1.260625,8
10.0,Sense1,"-Order in the cafeteria 
-Ham and cheese on rye, please. ",ORDER,ASK,JUDGE,3.7100166666666667,1.6712666666666667,2.435166666666667,1.6666666666666667,1.6044833333333333,1.0,3.7100166666666667,1.6814533333333335,2.435166666666667,1.6044833333333333,6
15.0,Sense2,"I asked the librarian for books about cooking. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,4.5857800001,1.48028,2.4308000001,1.7,1.76071,1.0,4.5857800001,1.48028,2.3565645000999997,1.76071,10
17.0,Sense2,Secret agents don't date because they don't want to give away their covers,COVERS,DUVET,IDENTITY,4.179577777666667,1.2890000000000001,2.117977777777778,1.8888888888888888,1.4372555555555555,1.0,4.183420555444445,1.2970577777777779,2.0732827777777776,1.4372555555555555,9
34.0,Joke,"I lost my left hand in an accident, I'm all right now.",ALL RIGHT,OK,DIRECTION,4.3511875,6.5814875,1.448375,4.5,1.67625,1.0,4.368573125,2.360651874999999,1.4514631249999999,1.690015,8
33.0,Joke,I tried to be a carpenter but I couldn't nail it.,NAIL IT,SUCCEED,RUST,2.722811111222222,2.1548777777777777,1.3394222222222223,4.888888888888889,1.4511555555555555,1.0,2.780265000111111,1.812181666666666,1.3394222222222223,1.4637933333333333,9
1.0,Sense1,"- Is this safe locked? 
- No, I left it open on purpose",SAFE,BANK,HARMLESS,3.8248625,3.9820125,1.450800000125,2.0,1.5461125,1.0,3.892498125,2.540089374999999,1.461675625125,1.5665525,8
39.0,Joke,Humpty Dumpty was happy in the winter. He had a great fall.,FALL,AUTUMN,SLIP,3.554442857142857,1.2136999999999998,1.8926571428571428,4.857142857142857,1.2367428571428571,1.0,3.624112142857143,1.2136999999999998,1.7869349999999997,1.2493057142857145,7
40.0,Joke,Energizer bunny arrested: charged with battery,BATTERY,ASSAULT,POWERED,7.1041799999,2.48325,1.9315099999,5.5,1.23811,1.0,5.227567999899999,1.9169734999999992,1.7378454999,1.251172,10
19.0,Sense2,The actor ran from left to right: he was going across the stage,STAGE,THEATER,PHASE,4.496042857,1.546457142857143,1.2654142857142858,1.5714285714285714,1.7132142857142856,1.0,4.496042857,1.5469028571428571,1.2654142857142858,1.7132142857142856,7
5.0,Sense1,Two fish in a tank. One says: When do you think we'll get fed?,TANK,WAR,WATER,3.6871400000000003,0.9873000000000001,1.21628,1.2,1.29412,1.0,3.6871400000000003,1.025204,1.21628,1.29412,5
32.0,Joke,"I thought about going on an all-almond diet, but that's just nuts!",NUTS!,SQUIRREL,CRAZY,4.690575,1.453125000125,1.6456250000000001,3.875,1.440800000125,1.0,4.690575,1.453125000125,1.670113125,1.440800000125,8
11.0,Sense2,The circus hires clowns because they are funny,FUNNY,WEIRD,LAUGHTER,6.621066666666667,3.6367,1.4427833333333335,1.8333333333333333,1.5975000000000001,1.0,3.874829999999999,2.275505833333332,1.4427833333333335,1.6047033333333334,6
3.0,Sense1,Two friends got married. The reception was fantastic,RECEPTION,SIGNAL,PARTY,2.85405,1.2134625,2.1227375,1.875,1.5991875,1.0,3.053855,1.2665675,2.1227375,1.5562524999999998,8
38.0,Joke,"-This coffee tastes like mud 
-Well, it was just ground this morning!",GROUND,DIRT,CRUSH,4.258533333333333,1.8575777777777778,2.0365777777777776,4.333333333333333,1.478811111111111,1.0,4.258533333333333,1.8814711111111113,2.0267388888888886,1.4873577777777778,9
35.0,Joke,The communist loved the summer because there were no classes,CLASSES,SCHOOL,STATUS,3.282842857,1.5527714285714287,1.1991285712857143,4.0,1.0432571428571429,1.0,3.3285835712857144,1.57446,1.2380292857142856,1.1309114285714286,7
